episode,action
163,"[,93.70959,6.7416725,128.91914,12.361101,0.13445899,96.00261,6.7368126,49.42753,11.139541,0.8363658,8.076429,]"
164,"[105.094536,5.1744404,58.143406,9.305326,0.52693003,63.831284,4.7340374,14.667725,9.683647,0.7272574,8.422469,]"
165,"[140.32516,6.9716916,91.62205,14.025965,0.7467483,59.546165,3.227401,122.9612,10.803087,0.54111964,5.716099,]"
166,"[113.68511,5.153749,135.78809,9.309078,0.20538855,39.414017,4.92898,40.845406,7.518244,0.9215541,8.986408,]"
167,"[122.580246,6.2444086,135.49748,14.606991,0.4070681,92.43163,3.857103,134.10403,13.398529,0.5447403,5.580246,]"
168,"[145.61203,5.4152575,147.78897,13.207057,0.5037548,75.03628,6.671674,77.17235,7.1287484,0.9502734,5.7791457]"
169,"[141.06912,6.1008377,121.49353,13.682985,0.20348394,31.236061,6.0808616,121.468185,10.592786,0.8028689,8.728656,]"
170,"[145.9483,6.0001574,117.36227,7.6261473,0.8635149,138.44034,3.0837786,146.68887,10.855313,0.64354455,4.557149,]"
171,"[1.05534027e+02,6.67777252e+00,1.27422432e+02,1.48080082e+01,1.17912740e-01,3.21950073e+01,6.92768955e+00,7.09376602e+01,1.26248455e+01,8.94088030e-01,8.68963623e+00]"
172,"[100.65052,3.4659777,119.94333,9.3967905,0.7175395,59.79294,6.557516,66.18436,6.5594106,0.92472726,8.310676,]"
173,"[,77.203705,5.125326,147.85596,14.905064,0.1924226,49.53048,6.2826443,27.82866,8.901266,0.9560654,8.671383,]"
174,"[130.58665,5.132653,67.23874,13.944853,0.20554653,66.95532,2.802576,126.52874,7.6686172,0.87033206,8.03338,]"
175,"[,30.921535,4.9500914,137.13701,11.978329,0.6280188,38.456978,3.3437302,35.205654,8.2190275,0.74369735,4.343405,]"
176,"[129.03781,6.9893575,118.61147,13.741956,0.30210596,113.9307,5.6964464,11.550888,6.973075,0.94714355,8.8682995,]"
177,"[126.25972,3.5185306,133.72195,8.517039,0.5501447,116.25721,1.7610784,77.59682,11.773296,0.8213123,8.042358,]"
178,"[1.19104675e+02,5.41567612e+00,1.23125336e+02,7.99250984e+00,1.15970641e-01,1.16331818e+02,4.05999660e+00,2.27470970e+01,6.62722588e+00,8.77564907e-01,8.50203419e+00]"
179,"[145.90997,6.641153,120.26013,12.922272,0.48226985,100.92265,5.953826,136.3704,8.536078,0.64148897,5.2018785,]"
180,"[133.67,5.592842,87.157265,14.213921,0.17617285,136.53534,5.863264,77.64239,12.878399,0.78414035,8.227487,]"
181,"[70.11573,6.7347665,60.407547,5.6671276,0.11033767,50.92823,3.911376,11.296097,13.532704,0.41437972,7.4648495,]"
182,"[,51.71317,6.661081,126.886086,9.144524,0.17743161,41.736633,5.491646,67.12181,14.838179,0.89916956,6.1291647,]"
183,"[89.311806,6.162274,84.7595,11.778219,0.8820858,55.86681,6.2893267,23.328308,5.2693315,0.99150234,7.9899635,]"
184,"[,51.245716,6.6917186,134.23593,8.255627,0.6495726,130.33527,4.3348494,98.533035,9.32826,0.87019885,5.547116,]"
185,"[146.85199,6.7562304,147.17218,14.265954,0.15422466,31.597168,6.8846464,87.494606,7.722402,0.9625209,8.878275,]"
186,"[1.3128798e+02,6.1082344e+00,6.1814552e+01,1.1079438e+01,1.3015440e-01,8.7664505e+01,5.8216381e+00,1.0553725e+02,1.1569523e+01,9.7136545e-01,8.9426861e+00]"
187,"[,48.277145,6.6353884,148.35461,9.368002,0.14842635,71.0907,6.854827,20.694572,7.3193884,0.9226917,8.428576,]"
